Q1000078	Moravská Třebová
Q1000104	Kikuchi Kan Prize
Q100065	Mirandola
Q1000985	Milan Pacanda
Q1001084	Chevry
Q1001466	Budiměřice
Q1001873	Taliouine
Q1003284	Brectouville
Q1003315	Francesco Lodi
Q1003422	Francis Litsingi
Q1003541	Frank Wiafe Danquah
Q1004531	Bullets Over Broadway
Q1006741	Krisztián Füzi
Q1007	Guinea-Bissau
Q1007573	Galaxy Science Fiction
Q1007872	Anderson Roberto da Silva Luiz
Q1008	Ivory Coast
Q1008011	Kheli Dube
Q1008226	Fontenay-en-Vexin
Q1008589	Plasy
Q1008656	Cvikov
Q1008677	Horní Blatná
Q1008793	Meselefors
Q1008896	Károly Gelei
Q1008944	Les Abrets
Q1009009	Nová Role
Q1009788	The Conversation
Q1010193	Burak Keskin
Q1010206	İhsan Burak Özsaraç
Q1010218	Huenes Marcelo Lemos
Q1010227	Silvio Soldini
Q1010261	Villalcázar de Sirga
Q1010554	Köinge
Q1010584	Giorgi Ganugrava
Q1010606	Järvakandi
Q1010623	Chanteloup
Q1011474	Saint-Aulaye
Q1011509	Golden Globe Award for Best Motion Picture – Drama
Q1011564	Golden Globe Award for Best Actress in a Motion Picture – Musical or Comedy
Q1011641	Golčův Jeníkov
Q1012071	Goran Grkinić
Q1012961	La Alberca
Q1013035	Veleslavín
Q10132	Rafael Nadal
Q1014164	Montchamp
Q1014214	La Vespière
Q101437	Pius II
Q1014994	Nalžovské Hory
Q1015281	Uhelná
Q1016	Libya
Q1016057	Burgsvik
Q1016283	Burhan Sargun
Q1016345	Grillby
Q1016351	Silverdalen
Q1016375	Parsac
Q1016620	Saint-Charles-de-Percy
Q1016846	Hillerstorp
Q1016856	Vrigstad
Q1017	Aachen
Q1017034	Hlohovec
Q1017045	Protivín
Q1017261	Rotava
Q1017287	Lázně Bělohrad
Q1017292	John Wilkinson
Q1017294	Velká Kraš
Q1017325	
Q1017889	Volyně
Q1018401	Mikitamäe Rural Municipality
Q1018410	Bučina
Q1018422	Buš
Q1018431	Bušín
Q101859	VfL Wolfsburg
Q1018694	Bystřany
Q1018859	Lysá nad Labem
Q1019082	Monok
Q1019321	Stará Červená Voda
Q1019339	Město Albrechtice
Q1019351	Supíkovice
Q1019425	Béla Koplárovics
Q1019441	Béla Virág
Q1019523	Bílka
Q1019524	Bílence
Q1019531	Bílsko u Hořic
Q1019535	Bílá Hlína
Q1019537	Bílá Lhota
Q1019558	Bílý Potok
Q101959	Borussia Mönchengladbach
Q1020053	Börtnen
Q1020556	Creixell
Q1020674	Samal
Q1020698	Bülent Uygun
Q1020963	Sulimov
Q1021115	Komárov
Q1021151	Komárno
Q102133	Martin Senff
Q1022	Stuttgart
Q1022021	Běhařov
Q1022044	Bělotín
Q1022119	Saint-Ouen-l'Aumône
Q1022173	Březnice
Q1022189	Březová Lada
Q1022206	Březí
Q1022207	Březí u Tachova
Q1022331	Růžďka
Q1022338	Halenkov
Q1022418	Vrbice
Q1022939	Talleres de Córdoba
Q1023028	CCC Development Team
Q102307	Vyazma
Q1023185	Tecos F.C.
Q1023191	Club Deportivo Huachipato
Q1023201	C.D. Marathón
Q1023208	C.D. Olimpia
Q1023235	Tiburones Rojos de Veracruz
Q1023451	Jaroměřice nad Rokytnou
Q1023454	Plumlov
Q1023532	Atlas F.C.
Q102365	Pärnu
Q1023814	Uherčice
Q1023824	Popice
Q1023865	Kobylí
Q1023882	Drnholec
Q1024180	Artsyom Salavey
Q1024264	Clube de Regatas Brasil
Q102427	Academy Award for Best Picture
Q1024397	CSM Reșița
Q1024460	C.S. Cartaginés
Q1024463	CS Concordia Chiajna
Q1024881	Velvary
Q102496	parish
Q1025096	Caddyshack II
Q1025109	Lipnice nad Sázavou
Q1025172	Janov
Q1025702	Cafú
Q1025883	Dzyatlava
Q1026705	Kyparissia
Q1026721	Daniele Cacia
Q1026772	Mezná
Q1026798	Ondřejov
Q102720	Hertha BSC
Q1027200	Calle 13
Q1027326	Obrataň
Q1027483	Luiz Diallisson de Souza Alves
Q1027502	Calum Elliot
Q1027600	Klášterec nad Orlicí
Q1027617	Sezemice
Q1027858	Raudnei Anversa Freire
Q1027891	Grammy Award for Best Pop Vocal Album
Q1027904	Grammy Award for Song of the Year
Q1028073	Leandro Simioni
Q1028220	Michael Bridges
Q1028482	Fikru-Teferra Lemessa
Q1028592	John Goodall
Q10286	Club Atlético Osasuna
Q1029155	Camille Claudel
Q1029212	Bernie
Q10300	Rayo Vallecano
Q1030228	Ludvig Faddeev
Q1030402	John W. Campbell Memorial Award for Best Science Fiction Novel
Q1030538	Sherwin Grot
Q1030799	Sandro Calabro
Q10308	Real Zaragoza
