Q215841	P54	Q18744	Joleon Lescott	West Bromwich Albion F.C.	occurUntil	2015
Q524660	P1082	1350	Oberaudorf		occurUntil	1925
Q330588	P1082	118	Útěchovičky		occurUntil	1900
Q285107	P1082	491	Horní Tošanovice		occurUntil	1930
Q696162	P54	Q392310	Arnold Schwellensattl	LASK Linz	occurSince	2003
Q155251	P54	Q1129595	Antonio Maceda	Spain national under-21 association football team	occurUntil	1977
Q630491	P1087	2556	Yuri Gonzalez Vidal		occurUntil	2011
Q529127	P1082	2914	Mühlheim an der Donau		occurUntil	1970
Q427716	P54	Q19456	Aaron Wilbraham	Bristol City F.C.	occurSince	2014
Q258909	P2196	550	Varga Katalin Secondary School		occurUntil	2013
Q525731	P1087	2679	Ivan Cheparinov		occurUntil	2009
Q664686	P54	Q2277185	Dedi Ben Dayan	Israel national under-21 football team	occurUntil	1999
Q349172	P54	Q19490	Gonzalo Jara	Nottingham Forest F.C.	occurSince	2013
Q933158	P54	Q188430	Kenneth Zohore	F.C. Copenhagen	occurSince	2010
Q453607	P1087	2404	Tania Sachdev		occurSince	2014
Q679699	P54	Q10333	Sisinio González Martínez	Valencia CF	occurUntil	2008
Q952098	P1087	2627	Surya Shekhar Ganguly		occurUntil	2012
Q950890	P54	Q244595	Dániel Völgyi	Újpest FC	occurSince	2006
Q725279	P1087	2630	Constantin Lupulescu		occurUntil	2013
Q576614	P54	Q42267	Luis Aragonés	Spain men's national football team	occurSince	1964
Q969550	P54	Q318307	Agustín Balbuena	Club Atlético Rosario Central	occurUntil	1970
Q622942	P1087	2269	Lisandra Llaudy Pupo		occurSince	2013
Q1078924	P1087	2618	Christian Bauer		occurSince	2001
Q517854	P1087	2588	Valery Popov		occurUntil	2009
Q80477	P1082	2332	Bad Rippoldsau-Schapbach		occurSince	2001
Q234463	P166	Q30120085	Sydney Brenner	King Faisal International Prize in Science	occurSince	1992
Q640211	P1082	102	Cachorrilla		occurSince	2012
Q342364	P54	Q19604	Ben Sahar	Portsmouth F.C.	occurUntil	2009
Q578163	P54	Q170703	Héctor Bracamonte	Boca Juniors	occurSince	1998
Q585320	P1087	2640	Varuzhan Akobian		occurUntil	2014
Q984638	P1082	106	Santaliestra y San Quílez		occurSince	2010
Q432696	P1352	16	Melek Hu		occurUntil	2017
Q535558	P1087	2454	Rıfat Bağırov		occurSince	2015
Q659426	P1082	1145	Dolany		occurSince	1910
Q950726	P166	Q44585	William Ramsay	Nobel Prize in Chemistry	occurUntil	1904
Q433358	P1087	2491	Elina Danielian		occurSince	2010
Q725279	P1087	2634	Constantin Lupulescu		occurSince	2013
Q1062107	P1082	407	Saint-Georges-de-Bohon		occurUntil	2008
Q1108579	P1087	2437	Colin McNab		occurSince	2015
Q376607	P54	Q19453	Wayne Henderson	Brighton & Hove Albion F.C.	occurSince	2005
Q525884	P1087	2539	Lev Alburt		occurSince	2013
Q455486	P54	Q1130849	Bruno Cheyrou	Liverpool F.C.	occurUntil	2006
Q1222692	P1087	2168	Dieter Riegler		occurSince	2007
Q954615	P1082	131	Jahodov		occurUntil	1921
Q504274	P1087	2536	Stewart Haslinger		occurSince	2011
Q81051	P1082	2567	Sulzbach-Laufen		occurUntil	2002
Q713720	P54	Q18716	Kevin Sheedy	Newcastle United F.C.	occurUntil	1993
Q929853	P1352	107	Evgueni Chtchetinine		occurUntil	2014
Q219354	P54	Q782658	Ian Rush	Sydney Olympic FC	occurUntil	2000
Q151034	P54	Q920263	Kevin-Prince Boateng	Hertha BSC II	occurUntil	2007
Q1079195	P1087	2291	Christian Clemens		occurUntil	2009
Q1081566	P1087	2408	Christian Richter		occurSince	2010
Q782612	P1082	115	Libel		occurSince	1980
Q967940	P1082	194	Mirotice		occurSince	1930
Q608600	P1087	2532	Susanto Megaranto		occurUntil	2008
Q962258	P1082	226	Unciti		occurSince	2004
Q1145764	P1411	Q5243449	Guiding Light	Daytime Emmy Award for Outstanding Supporting Actor in a Drama Series	occurSince	2004
Q804428	P54	Q492826	Baki Mercimek	MKE Ankaragücü	occurUntil	2010
Q314734	P54	Q219233	Anthony Annan	SBV Vitesse	occurSince	2011
Q487793	P1087	2240	Anatoly Lein		occurUntil	2012
Q58978	P1411	Q38104	Max Born	Nobel Prize in Physics	occurSince	1953
Q671587	P54	Q2037	Mickaël Facchinetti	AC ChievoVerona	occurUntil	2012
Q470173	P1087	2314	Michel Jadoul		occurSince	2015
Q587131	P1082	1451	Artziniega		occurUntil	2004
Q1175673	P1411	Q3123491	David Milch	Primetime Emmy Award for Outstanding Writing for a Drama Series	occurSince	1999
Q12669	P1082	70	Esterri de Cardós		occurUntil	2013
Q1041885	P166	Q2925701	Wallander	British Academy Television Award for Best Actor	occurSince	2010
Q1334637	P1087	2540	Emanuel Berg		occurSince	2006
Q685880	P54	Q206692	Raphael Koch	FC Zürich	occurUntil	2015
Q311200	P54	Q8835	Miguel Ángel Nadal	RCD Mallorca	occurSince	1999
Q483202	P54	Q324338	Serhiy Skachenko	FC Torpedo Moscow	occurSince	1998
Q359388	P54	Q492826	Adnan Erkan	MKE Ankaragücü	occurSince	1993
Q12672	P1082	265	Alins		occurUntil	2008
Q461463	P1087	2195	Elisabeta Polihroniade		occurUntil	2001
Q953786	P1082	69	Fuentesecas		occurUntil	2010
Q90489	P1087	2540	Fabian Döttling		occurSince	2002
Q529127	P1082	3020	Mühlheim an der Donau		occurUntil	1976
Q393370	P1082	382	Žampach		occurUntil	1930
Q312918	P1087	2731	Alexander Morozevich		occurUntil	2006
Q432696	P1352	24	Melek Hu		occurUntil	2016
Q674128	P39	Q26243819	Giovanni Lanza	minister of Interior of the Kingdom of Italy	occurUntil	1865
Q1145764	P166	Q5243445	Guiding Light	Daytime Emmy Award for Outstanding Drama Series Writing Team	occurUntil	1982
Q1334637	P1087	2586	Emanuel Berg		occurUntil	2007
Q1281333	P1087	2221	Lancelot von Naso		occurUntil	2013
Q12686	P1082	656	Rialp		occurSince	2008
Q219000	P1087	2504	Zoltán Medvegy		occurSince	2007
Q788941	P1087	2200	György Bakcsi		occurSince	2009
Q987657	P54	Q727135	Edison Luiz dos Santos	Kecskeméti TE	occurSince	2012
Q993172	P54	Q189170	Bruno Coutinho	Jagiellonia Białystok	occurUntil	2008
Q644750	P1087	2514	Alexey Khruschiov		occurUntil	2008
Q61639	P1082	2151	Eimeldingen		occurUntil	2000
Q388310	P1082	1423	Valdice		occurSince	2016
Q472966	P1087	2282	Daniel Alsina Leal		occurSince	2004
Q341550	P1082	727	Čistá v Krkonoších		occurUntil	1910
Q585320	P1087	2610	Varuzhan Akobian		occurUntil	2008
Q1101754	P54	Q8428	Amos Mariani	Calcio Padova	occurUntil	1959
Q728075	P1087	2415	Ron Henley		occurSince	2014
Q1019351	P1082	1734	Supíkovice		occurSince	1930
Q316805	P54	Q316855	Steffen Karl	Hallescher FC	occurSince	1987
Q439826	P54	Q670438	Slavoljub Đorđević	SC Rheindorf Altach	occurUntil	2009
Q515176	P1082	1185	Weidenstetten		occurSince	1996
Q734064	P1082	453	Milínov		occurUntil	1921
Q723552	P1087	2524	Lev Psakhis		occurUntil	2013
Q918597	P1087	2400	Salome Melia		occurSince	2007
Q730021	P1082	539	Barberà de la Conca		occurSince	2009
Q837609	P1082	37	Tajahuerce		occurSince	2006
Q1129186	P1411	Q787123	Control	BAFTA Award for Best Actress in a Supporting Role	occurSince	2008
